CustomerID,balance,max_spent,mean_spent,min_spent,n_orders,time_between_orders,total_items,total_items_returned,total_refunded,total_spent,class
12348,3874.6,2248.8,1291.533333,478.8,3,54.5,6876,0,0,3874.6,yes
12352,1845.13,1054.1,393.092,0,5,11.33333333,774,-63,-120.33,1965.46,yes
12354,1079.4,1079.4,1079.4,1079.4,1,365,530,0,0,1079.4,no
12356,6621.63,5011.34,3310.815,1610.29,2,80,4455,0,0,6621.63,yes
12360,4359.34,2984.6,2179.67,1374.74,2,88,2116,0,0,4359.34,yes
12362,4700.73,1437,787.255,0,6,,2929,-10,-22.8,4723.53,yes
12364,1840.52,1840.52,1840.52,1840.52,1,365,1656,0,0,1840.52,yes
12379,1117.63,1119.58,559.79,0,2,365,610,-1,-1.95,1119.58,yes
12380,1632.25,1632.25,1632.25,1632.25,1,365,798,0,0,1632.25,yes
12384,668.81,668.81,668.81,668.81,1,365,186,0,0,668.81,yes
12395,5190.96,963.7,520.876,0,10,36.42857143,5000,-4,-17.8,5208.76,yes
12399,1033.65,450.9,258.4125,115.08,4,47.33333333,1173,0,0,1033.65,no
12407,4142,2011.91,1035.5,471.42,4,42.66666667,3800,0,0,4142,yes
12408,3913.05,1988.04,657.3383333,0,6,42,2067,-9,-30.98,3944.03,yes
12413,1471.1,1329.05,493.6833333,0,3,100,537,-1,-9.95,1481.05,yes
12421,1521.76,617.35,507.2533333,294.93,3,101.5,1322,0,0,1521.76,yes
12423,3677.88,866.3,612.98,388.64,6,31.8,2806,0,0,3677.88,yes
12427,802.25,859.2,429.6,0,2,365,266,-9,-56.95,859.2,yes
12428,18407.03,7577.85,1844.629,0,10,27,10348,-32,-39.26,18446.29,yes
12437,6218.98,1246.68,627.373,0,10,18.625,4217,-5,-54.75,6273.73,yes
12444,6655.78,5086.94,3327.89,1568.84,2,49,1824,0,0,6655.78,yes
12447,431.49,431.49,431.49,431.49,1,365,187,0,0,431.49,no
12449,4525.24,2523.95,2262.62,2001.29,2,57,1898,0,0,4525.24,yes
12453,707.09,707.09,707.09,707.09,1,365,473,0,0,707.09,no
12456,5864.69,3247.43,1963.946667,0,3,123,3411,-17,-27.15,5891.84,yes
12458,1065.18,1065.18,1065.18,1065.18,1,365,854,0,0,1065.18,yes
12462,1793.34,1814.14,907.07,0,2,365,862,-4,-20.8,1814.14,yes
12463,2716.26,1000.76,680.415,0,4,32.5,1722,-4,-5.4,2721.66,yes
12464,2246.7,689.1,374.45,91.8,6,40.2,255,0,0,2246.7,yes
12465,1076.5,1076.5,1076.5,1076.5,1,365,772,0,0,1076.5,yes
12472,13001.81,4342,1477.864444,0,9,57.25,9054,-113,-298.97,13300.78,yes
12473,3117.4,1966.36,1052.62,0,3,77,2801,-71,-40.46,3157.86,yes
12474,10720.14,2152.97,571.0978947,0,19,16.81818182,7632,-39,-130.72,10850.86,yes
12476,8137.78,3619.52,689.04,0,12,43.6,3516,-23,-130.7,8268.48,yes
12477,12779.81,6573,3197.34,0,4,62,3742,-5,-9.55,12789.36,yes
12480,5625.47,2238,1875.156667,1369.14,3,96,3147,0,0,5625.47,yes
12481,11659.27,2951.03,1296.081111,0,9,26.28571429,7248,-14,-5.46,11664.73,yes
12484,9731.1,4033.18,2441.9,0,4,116,5875,-5,-36.5,9767.6,yes
12490,5177.47,2270.36,1294.3675,739.2,4,63.33333333,3292,0,0,5177.47,yes
12492,405.75,405.75,405.75,405.75,1,365,212,0,0,405.75,yes
12494,2436.66,1197.41,248.561,0,10,50.25,1097,-12,-48.95,2485.61,yes
12500,5034.1,1333.5,839.0166667,410.04,6,45.2,3732,0,0,5034.1,yes
12502,6110.31,1954.01,1527.5775,1017.6,4,60.33333333,1607,0,0,6110.31,yes
12513,1696.83,1696.83,1696.83,1696.83,1,365,1294,0,0,1696.83,yes
12516,1408.7,1408.7,1408.7,1408.7,1,365,920,0,0,1408.7,yes
12517,4384.35,2279.88,2192.175,2104.47,2,63,2584,0,0,4384.35,yes
12518,844.28,844.28,844.28,844.28,1,365,516,0,0,844.28,yes
12520,5146.18,2481.41,1039.586,0,5,43.33333333,3149,-9,-51.75,5197.93,yes
12523,2798.58,579,399.7971429,301.5,7,36.83333333,,0,0,2798.58,yes
12524,8023.53,2939.77,1337.255,902.3,6,33.8,6900,0,0,8023.53,yes
12527,709.92,390.72,354.96,319.2,2,30,624,0,0,709.92,yes
12528,3564.72,1344.51,595.9866667,0,6,66,1529,-6,-11.2,3575.92,yes
12530,2843.91,1130.8,720.64,0,4,106,1566,-13,-38.65,2882.56,yes
12535,1050.65,1050.65,1050.65,1050.65,1,365,331,0,0,1050.65,yes
12540,21350.5,4073.63,1946.927273,0,11,27.66666667,11932,-6,-65.7,21416.2,yes
12541,1526.09,996.45,763.045,529.64,2,107,1309,0,0,1526.09,yes
12545,1558.6,1558.6,1558.6,1558.6,1,365,1028,0,0,1558.6,yes
12547,151.8,131.4,75.9,20.4,2,82,132,0,0,151.8,no
12548,67.2,67.2,67.2,67.2,1,365,48,0,0,67.2,no
12551,168,168,168,168,1,365,100,0,0,168,no
12553,6171.96,1627.47,620.826,0,10,36.16666667,3736,-39,-36.3,6208.26,yes
12556,918.28,918.28,918.28,918.28,1,365,519,0,0,918.28,yes
12562,4511.7,2081.5,1503.9,1210.23,3,35.5,2436,0,0,4511.7,yes
12567,18425.87,4241.49,2079.134444,0,9,37,9217,-216,-286.34,18712.21,yes
12569,4317.37,841.44,333.9284615,0,13,12.63636364,2479,-6,-23.7,4341.07,yes
12571,665.25,665.25,665.25,665.25,1,365,507,0,0,665.25,yes
12573,160.54,160.54,160.54,160.54,1,365,84,0,0,160.54,no
12577,664.75,664.75,664.75,664.75,1,365,441,0,0,664.75,yes
12578,4294.01,4335.16,1445.053333,0,3,365,2227,-25,-41.15,4335.16,yes
12580,379.7,379.7,379.7,379.7,1,365,236,0,0,379.7,no
12582,351.36,186.2,175.68,165.16,2,49,296,0,0,351.36,no
12583,11120.81,2280.06,1235.645556,564,9,33,9453,0,0,11120.81,yes
12584,1977.93,1102.94,259.02875,0,8,50.33333333,423,-12,-94.3,2072.23,yes
12586,-17,0,0,0,1,365,0,-2,-17,0,yes
12589,269.05,269.05,269.05,269.05,1,365,203,0,0,269.05,yes
12592,708.4,708.4,708.4,708.4,1,365,552,0,0,708.4,yes
12594,6888.58,1978.98,984.0828571,85.92,7,33.16666667,3942,0,0,6888.58,yes
12596,643.82,643.82,,643.82,1,365,507,0,0,643.82,yes
12597,3495.94,2017.34,1747.97,1478.6,2,85,2068,0,0,3495.94,yes
12598,4370.84,2060.28,1097.81,0,4,61,2800,-24,-20.4,4391.24,yes
12599,2149.8,514.7,358.3,232.2,6,35,2196,0,0,2149.8,yes
12600,4632.08,1467.39,579.01,117,8,36.57142857,1444,0,0,4632.08,yes
12604,538.8,538.8,538.8,538.8,1,365,454,0,0,538.8,yes
12609,1984.95,1339.62,992.475,645.33,2,132,1415,0,0,1984.95,yes
12610,3231.2,2422,1080.916667,0,3,19,1787,-13,-11.55,3242.75,yes
12613,3857.44,2022.14,1285.813333,419.67,3,32,2164,0,0,3857.44,yes
12615,1653.56,1653.56,1653.56,1653.56,1,365,1216,0,0,1653.56,yes
12616,744.2,770.4,256.8,0,3,365,336,-8,-26.2,770.4,yes
12619,4805.79,1824.96,1201.4475,593.93,4,45.33333333,5317,0,0,4805.79,yes
12620,1517.91,1517.91,1517.91,1517.91,1,365,1153,0,0,1517.91,yes
12621,25073.67,3465.3,1568.46375,0,16,19.23076923,15273,-19,-21.75,25095.42,yes
12624,569.13,305.19,284.565,263.94,2,71,351,0,0,569.13,no
12626,12387.03,2895.08,1261.916,0,10,42.2,7036,-103,-232.13,12619.16,yes
12627,4899.62,2225.01,1633.206667,1179.23,3,15,2923,0,0,4899.62,yes
12633,5451.18,3008.06,1368.6325,0,4,78.5,2834,-13,-23.35,5474.53,yes
12635,1860.49,1860.49,1860.49,1860.49,1,365,1319,0,0,1860.49,yes
12637,8449.63,2646.97,1209.182857,0,7,33.2,4265,-9,-14.65,8464.28,yes
12642,812.76,812.76,812.76,812.76,1,365,626,0,0,812.76,yes
12645,,1763.42,1408.173333,1026,3,103,2582,0,0,4224.52,yes
12647,6881.9,1344.9,693.48,0,10,29.75,2910,-12,-52.9,6934.8,yes
12651,114,114,114,114,1,365,78,0,0,114,no
12652,788.53,793.98,396.99,0,2,365,498,-3,-5.45,793.98,no
12654,990.85,460.7,330.2833333,155.6,3,48.5,463,0,0,990.85,yes
12656,6982.26,3064.06,1408.442,0,5,58.5,3527,-13,-59.95,7042.21,yes
12662,7402.3,,929.375,0,8,43.83333333,4241,-18,-32.7,7435,yes
12664,4137.88,2037.3,1379.293333,896.58,3,89,1156,0,0,4137.88,yes
12668,7303.16,3574.4,1834.49,0,4,48,4140,-24,-34.8,7337.96,yes
12670,2726.07,1577.75,1363.035,1148.32,2,32,1491,0,0,2726.07,yes
12672,225.9,225.9,225.9,225.9,1,365,78,0,0,225.9,no
12674,2850.48,1866.48,960.16,0,3,37,1578,-24,-30,2880.48,yes
12678,17098.38,9395.22,2856.43,0,6,50.25,12149,-24,-40.2,17138.58,yes
12679,2282.71,2167.32,773.32,0,3,77,1097,-15,-37.25,2319.96,yes
12680,858.08,858.08,,858.08,1,365,738,0,0,858.08,yes
12681,25152.54,3035.1,1399.724444,0,18,14.92857143,15201,-10,-42.5,25195.04,yes
12682,21257.71,2200.53,1118.826842,189.9,19,14.22222222,9893,0,0,21257.71,yes
12683,16193.5,2710.59,1161.803571,0,14,25.7,10649,-7,-71.75,16265.25,yes
12684,3754.8,1400.24,1251.6,991.24,3,21,3864,0,0,3754.8,yes
12686,71.14,71.14,71.14,71.14,1,365,106,0,0,71.14,no
12689,1455.62,1455.62,1455.62,1455.62,1,365,950,0,0,1455.62,yes
12691,1080.6,426.9,360.2,288.6,3,105.5,476,0,0,1080.6,yes
12694,1097.22,1097.22,1097.22,1097.22,1,365,978,0,0,1097.22,yes
12695,917.1,645.45,458.55,271.65,2,102,554,0,0,917.1,yes
12701,950.49,950.49,950.49,950.49,1,365,711,0,0,950.49,yes
12704,2890.55,1041.42,963.5166667,899.4,3,31,1459,0,0,2890.55,yes
12705,12017.69,4387.6,1723.291429,0,7,66,7878,-20,-45.35,12063.04,yes
12708,5289.5,1054.3,488.5809091,0,11,44,2884,-31,-84.89,5374.39,yes
12709,17071.06,3605.78,1090.303125,0,16,25.22222222,7381,,-373.79,17444.85,yes
12710,2132.55,1900.8,717,0,3,39,1327,-2,-18.45,2151,yes
12712,11756.84,2564.4,847.7385714,0,14,25.9,3126,-16,-111.5,11868.34,yes
12714,9012.54,3065.39,2253.135,1116.24,4,62,6436,0,0,9012.54,yes
12720,8846.35,1163.17,553.26875,0,16,17.07142857,8414,-7,-5.95,8852.3,yes
12721,3992.04,1242.53,803.838,0,5,56.66666667,3202,-5,-27.15,4019.19,yes
12722,2676.27,1729.26,553.914,0,5,17,1613,-6,-93.3,2769.57,yes
12724,649.86,377.4,324.93,272.46,2,158,446,0,0,649.86,yes
12726,4535.28,1311.48,907.056,431.16,5,42.5,6278,0,0,4535.28,yes
12727,7514.98,2486.38,1254.996667,0,6,33,4630,-12,-15,7529.98,yes
12728,1579.09,575.01,526.3633333,501.5,3,37,787,0,0,1579.09,yes
12731,32808.9,8298.16,3653.766667,0,9,31.14285714,16478,-60,-75,32883.9,yes
12747,7560.67,1685.46,945.08375,703.92,8,36.85714286,2411,0,0,7560.67,yes
12749,8185.84,5726.27,1401.42,0,6,41,3212,-49,-222.68,8408.52,yes
12757,5164.86,2700.75,1294.965,0,4,33.5,2827,-12,-15,5179.86,yes
12766,14155.94,3683.6,2831.188,1792.73,5,54,7671,0,0,14155.94,yes
12808,799.05,490.05,399.525,309,2,184,329,0,0,799.05,yes
12809,400.36,405.31,202.655,0,2,365,217,-1,-4.95,405.31,no
12818,1157.88,1182.08,591.04,0,2,365,920,-6,-24.2,1182.08,no
12820,439.02,439.02,439.02,439.02,1,365,426,0,0,439.02,yes
12823,3901.5,1377,975.375,688.5,4,56,510,0,0,3901.5,yes
12826,2595.27,1006.05,520.374,0,5,61.33333333,2311,-4,-6.6,2601.87,yes
12828,1190.55,839.8,595.275,350.75,2,17,507,0,0,1190.55,yes
12829,253.05,207.25,97.66666667,0,3,23,376,-1,-39.95,293,no
12830,14976.88,5528,3744.22,1175.04,4,12,19252,0,0,14976.88,yes
12836,6957.37,2824.5,1739.3425,246.45,4,58,2875,0,0,6957.37,yes
12838,1086.14,1086.14,1086.14,1086.14,1,365,664,0,0,1086.14,yes
12839,7883.44,1185.6,876.3044444,0,9,35.85714286,5244,-2,-3.3,7886.74,yes
12841,7953.53,897.1,467.8547059,173.45,17,16.0625,5212,0,0,7953.53,yes
12842,814.44,814.44,814.44,814.44,1,365,462,0,0,814.44,yes
12843,5046,1327.85,633.4375,0,8,16.83333333,2421,-28,-21.5,5067.5,yes
12844,447.64,447.64,447.64,447.64,1,365,190,0,0,447.64,yes
12845,354.09,208.8,88.5225,6.7,4,7.333333333,204,0,0,354.09,no
12852,299.75,311.55,155.775,0,2,365,149,-4,-11.8,311.55,no
12854,2180.03,1190.3,553.845,0,4,77,1122,-5,-35.35,2215.38,yes
12863,-17,0,0,0,1,365,0,-2,-17,0,yes
12865,3052.62,3072.78,1536.39,0,2,365,1678,-48,-20.16,3072.78,yes
12867,6973.64,1720.19,1163.648333,0,6,48,7892,-5,-8.25,6981.89,yes
12871,502.2,502.2,502.2,502.2,1,365,284,0,0,502.2,yes
12873,374,374,374,374,1,365,128,0,,374,no
12877,3208.43,980.41,356.4922222,109.8,9,28.5,2089,0,0,3208.43,yes
12878,2462.67,1556.13,1231.335,906.54,2,29,1575,0,0,2462.67,yes
12885,1843.91,1860.86,930.43,0,2,365,1039,-1,-16.95,1860.86,yes
12886,2604.52,2631.83,1315.915,0,2,365,1607,-9,-27.31,2631.83,yes
12904,711.88,711.88,711.88,711.88,1,365,505,0,0,711.88,yes
12908,360,432,250,0,3,136,1200,-600,-390,,no
12909,3985.38,1687.55,805.566,0,5,25.5,2705,-7,-42.45,4027.83,yes
12910,4287.06,1879.68,1071.765,206.7,4,35.66666667,2318,0,0,4287.06,yes
12913,2547.37,1137.34,849.1233333,440.43,3,42,1087,0,0,2547.37,yes
12919,1528.55,735.3,386.1125,0,4,26,759,-2,-15.9,1544.45,yes
12924,2501.67,1703,626.355,0,4,64,1390,-1,-3.75,2505.42,yes
12928,3530.3,1264.5,1176.766667,1077.4,3,105,2046,0,0,3530.3,yes
12930,697.22,703.12,234.3733333,0,3,365,336,-2,-5.9,703.12,yes
12933,1068.35,709.85,356.5333333,0,3,112,1082,-1,-1.25,1069.6,yes
12935,4788.53,1363.93,958.556,0,5,69.33333333,3831,-1,-4.25,4792.78,yes
12937,1454.8,837.25,727.4,617.55,2,69,964,0,0,1454.8,yes
12944,749.7,749.7,749.7,749.7,1,365,422,0,0,749.7,yes
12948,4385.91,1672.64,1096.4775,494.42,4,52.66666667,2390,0,0,4385.91,yes
12949,9974.62,4538.08,1110.98,0,9,22.83333333,5703,-18,-24.2,9998.82,yes
12955,4072.92,1433.86,511.9775,0,8,30.75,3264,-22,-22.9,4095.82,yes
12957,5366.34,1795.29,897.0316667,0,6,50.66666667,3797,-11,-15.85,5382.19,yes
12963,1168.9,1168.9,1168.9,1168.9,1,365,614,0,0,1168.9,yes
12970,23.8,17.2,11.9,6.6,2,0,8,,0,23.8,no
12974,144.8,144.8,144.8,144.8,1,365,24,0,0,144.8,no
12976,738.6,738.6,738.6,738.6,1,365,561,0,0,738.6,no
12980,7092.06,1077.12,614.575,0,12,24.375,886,-22,-282.84,7374.9,no
12981,492.46,492.46,492.46,492.46,1,365,374,0,0,492.46,yes
12987,916.1,929.8,464.9,0,2,365,264,-2,-13.7,929.8,yes
12989,13167.5,3034.8,1317.38,0,10,29,6540,-3,-6.3,13173.8,yes
12990,633.1,457.6,316.55,175.5,2,124,310,0,0,633.1,yes
12991,961.26,961.26,961.26,961.26,1,365,1092,0,0,961.26,yes
12993,1238,643.3,412.6666667,291.4,3,88.5,710,0,0,1238,yes
12997,1995.61,1043.35,505.2025,0,4,80,932,-13,-25.2,2020.81,yes
13001,26504.12,5696.89,2040.386154,0,13,16.3,14938,-8,-20.9,26525.02,yes
13004,11226.91,1286.13,750.9006667,0,15,21.63636364,9479,-12,-36.6,11263.51,yes
13008,178.47,229.47,114.735,0,2,365,175,-60,-51,229.47,no
13012,2747.52,1142.16,615.528,0,5,48.33333333,1420,-148,-330.12,3077.64,yes
13013,11062.67,2478.74,1108.662,0,10,37.14285714,5362,-7,-23.95,11086.62,yes
13014,5885.19,1808.94,660.6044444,0,9,41.5,1992,-13,-60.25,5945.44,yes
13015,5376.51,2357.79,1344.1275,283.2,4,17,2224,0,0,5376.51,yes
13016,1184.97,1184.97,1184.97,1184.97,1,365,811,0,0,1184.97,yes
13018,13705.59,1423.4,761.6966667,0,18,10.4375,10153,-1,-4.95,13710.54,yes
13021,3358.54,1063.27,484.36,0,7,63.33333333,1550,-16,-31.98,3390.52,yes
13023,875.77,875.77,875.77,875.77,1,365,391,0,0,875.77,yes
13026,427.32,267.96,213.66,159.36,2,54,708,0,0,427.32,yes
13029,2327.3,1179.8,1163.65,1147.5,2,214,286,0,0,2327.3,yes
13030,1422.51,1422.51,1422.51,1422.51,1,365,647,0,0,1422.51,yes
13034,454.16,454.16,454.16,454.16,1,365,308,0,0,454.16,yes
13035,1204.8,1204.8,1204.8,1204.8,1,365,744,0,0,1204.8,yes
13037,881.07,326.9,293.69,250.42,3,58.5,431,0,0,881.07,no
13038,1814.48,1396.2,907.24,418.28,2,106,836,0,0,1814.48,yes
13046,562.11,562.11,562.11,562.11,1,365,227,0,0,562.11,yes
13047,8165.6,1622.86,592.0135714,0,14,35,3444,-29,-122.59,8288.19,yes
13048,4135.2,1526.98,1041.3,0,4,106,3027,-8,-30,4165.2,yes
13049,496.92,496.92,496.92,496.92,1,365,268,0,0,496.92,yes
13050,12741.3,1713.47,612.4571429,0,21,21.16666667,7785,-30,-120.3,12861.6,yes
13052,348.15,348.15,348.15,348.15,1,365,222,0,0,348.15,no
13055,971.5,971.5,971.5,971.5,1,365,636,0,0,971.5,yes
13058,108.45,108.45,108.45,108.45,1,365,21,0,0,108.45,yes
13064,2279.42,1525.97,1139.71,753.45,2,174,1095,0,0,2279.42,yes
13068,495,495,495,495,1,365,300,0,0,495,yes
13069,10704.31,1386.65,529.4595238,0,21,13.44444444,10052,-254,-414.34,11118.65,yes
13079,142.8,142.8,142.8,142.8,1,365,24,0,0,142.8,yes
13090,15638.88,3314.6,1440.550909,0,11,33.28571429,3714,-62,-207.18,15846.06,yes
13092,1458.75,850.15,295.35,0,5,48.66666667,307,-8,-18,1476.75,yes
13094,4605.12,899.28,344.5414286,0,14,26.11111111,4314,-174,-218.46,4823.58,yes
13097,14549.23,3043.71,1330.020909,0,11,33.57142857,5831,-18,-81,14630.23,yes
13101,101.19,101.19,101.19,101.19,1,365,113,0,0,101.19,no
13102,14206.02,1145.38,649.7190909,0,22,12.5,10110,-44,-87.8,14293.82,yes
13104,1505.76,773.28,501.92,325.44,3,110.5,720,0,0,1505.76,yes
13107,2857.25,1711.5,954.9333333,0,3,157,2756,-5,-7.55,2864.8,yes
13109,1080.55,1085.5,542.75,0,2,365,760,-1,-4.95,1085.5,yes
13110,3056.09,964.55,515.315,0,6,43.25,808,-4,-35.8,3091.89,yes
13115,2847.11,2880.46,360.0575,0,8,365,2135,-15,-33.35,2880.46,yes
13117,2555.03,565.82,365.0042857,201.12,7,41.33333333,2149,0,0,2555.03,yes
13118,2291.9,1222.39,576.3275,0,4,39.5,801,-9,-13.41,2305.31,yes
13126,3556.45,1051.78,596.6416667,0,6,28,3543,-12,-23.4,3579.85,yes
13131,813.1,813.1,813.1,813.1,1,365,394,0,0,813.1,yes
13134,2355.62,1329.25,478.314,0,5,28,929,-11,-35.95,2391.57,yes
13136,3738.31,1854.28,629.4266667,0,6,34.5,2048,-7,-38.25,3776.56,yes
13137,4390.93,1842.29,1097.7325,725.19,4,68,2660,0,0,4390.93,yes
13138,1366.14,574.86,455.38,297.6,3,119,644,0,0,1366.14,yes
13139,4927.02,2120.22,1642.34,994.5,3,74.5,2156,0,0,4927.02,yes
13141,4354.63,1330.12,871.516,0,5,33.33333333,3128,-1,-2.95,4357.58,yes
13145,1831.4,1475,915.7,356.4,2,245,77,0,0,1831.4,yes
13148,8616.68,1598.39,598.3546667,0,15,25.33333333,4150,-147,-358.64,8975.32,yes
13149,3325.14,1445.26,1108.38,715.8,3,91,2330,0,0,3325.14,yes
13155,1594.37,1052.57,797.185,541.8,2,41,751,0,0,1594.37,yes
13157,2321.13,912.36,585.195,0,4,78.5,2082,-9,-19.65,2340.78,yes
13158,2356.54,882.84,785.5133333,652.42,3,99,1398,0,0,2356.54,yes
13159,2797.09,1603.35,951.73,0,3,9,1906,-14,-58.1,2855.19,yes
13165,817.36,817.36,817.36,817.36,1,365,1336,0,0,817.36,yes
13167,1159.1,706.66,579.55,452.44,2,12,1238,0,0,1159.1,yes
13168,3201.62,2073.74,802.6675,0,4,59,1787,-2,-9.05,3210.67,yes
13169,1552.8,1552.8,1552.8,1552.8,1,365,336,0,,1552.8,yes
13171,473,473,473,473,1,365,218,0,0,473,yes
13178,13212.14,2590.4,1651.5175,990.3,8,32,7879,0,0,13212.14,yes
13183,6476.44,1777.78,1079.406667,568.36,6,46,3857,0,0,6476.44,yes
13184,3997.56,975.43,368.1872727,0,11,19.375,4692,-30,-52.5,4050.06,yes
13186,2745.71,2781.91,927.3033333,0,3,365,1025,-16,-36.2,2781.91,yes
13189,386.4,386.4,386.4,386.4,1,365,1578,0,0,386.4,yes
13192,1367.89,1367.89,1367.89,1367.89,1,365,991,0,0,1367.89,yes
13196,1620.77,1620.77,1620.77,1620.77,1,365,949,0,0,1620.77,yes
13198,8757.98,2682.84,1461.488333,0,6,60,6945,-1,-10.95,8768.93,yes
13199,13132.36,2040,625.9771429,0,21,13.36842105,9750,-4,-13.16,13145.52,yes
13200,772.44,772.44,772.44,772.44,1,365,620,0,0,772.44,yes
13203,769.7,486.32,384.85,283.38,2,121,658,0,0,769.7,yes
13207,521.76,521.76,521.76,521.76,1,365,192,0,0,521.76,yes
13208,2489.64,949.54,622.41,485.12,4,50.66666667,1690,0,0,2489.64,yes
13209,11999.88,5977.1,1508.91625,0,8,57.75,9345,-21,-71.45,12071.33,yes
13211,442.8,442.8,442.8,442.8,1,365,184,0,0,442.8,yes
13213,2611.29,969.19,522.688,0,5,23.33333333,1424,-3,-2.15,2613.44,yes
13217,133.62,396.96,106.796,0,5,16.5,262,-148,-400.36,533.98,no
13218,62.64,62.64,62.64,62.64,1,365,88,0,0,62.64,no
13220,1925.56,1091.56,641.8533333,166.8,3,25,370,0,0,1925.56,yes
13225,12006.76,5377.2,2064.593333,0,6,54.25,5964,-64,-380.8,12387.56,yes
13230,6473.84,1037.73,434.4933333,0,15,17,3721,-121,-43.56,6517.4,yes
13232,2604.68,996.46,651.17,287.6,4,20.33333333,1357,0,0,2604.68,yes
